10000 10000
7729 9473 7598
8317 9982 4273
6904 8056 365
7981 8499 2595
2448 3887 9299
3899 5668 6600
3822 9722 4878
3769 9053 309
2049 7816 346
8542 8961 8145
7324 7841 5637
9612 9776 2531
9919 9920 5868
6115 7600 7487
601 6691 8690
8278 9413 3217
8004 8111 9698
9137 9941 1472
4828 9791 6640
1329 3247 1589
3419 9552 9308
8102 8696 8680
5156 7865 7628
4717 9996 1541
7662 9011 3558
3575 3900 6602
6152 9223 6652
5699 9222 2560
624 917 9442
1872 4363 4527
2388 4305 6395
1685 6120 955
126 1439 1947
6840 9912 8663
238 1749 8399
8888 9604 527
392 9131 96
8346 8659 4464
457 4186 8270
4902 5766 6934
1326 7935 2979
2555 7344 3891
1748 2637 8106
9264 9285 1666
2277 5965 9442
479 6754 6356
1162 2769 9302
9800 9896 4263
2389 5870 8871
7678 7959 6310
6904 9228 5729
6640 8998 4772
8916 9435 2300
2747 4811 544
7164 9159 5349
9072 9651 9088
6231 9554 3173
3101 7703 7752
9096 9129 2090
4859 6052 5594
2221 2875 6052
8828 9072 435
2524 5198 3530
3788 5678 3746
9025 9860 863
3942 5415 1624
6782 7605 65
4644 9691 3086
8899 9897 5755
9637 9770 9261
3731 5656 5911
2205 7308 777
3959 9460 3452
7695 9507 8109
5769 8061 8032
6059 8618 6407
6960 8278 1758
8503 9518 1392
1902 7641 8731
8725 9335 2101
2008 5022 6579
8902 9153 6840
4053 4835 1850
4530 8727 3005
8823 9581 8413
2074 5610 922
4728 7782 7994
6493 6536 3085
6117 6450 4494
852 4683 9946
8815 9177 6865
6724 9065 4466
4087 7122 7613
6121 8084 5536
1519 8395 4001
3129 5710 8555
6378 7331 6299
3656 4786 5616
2895 5257 9909
6371 8069 3469
1251 2823 4129
7973 8720 6770
4910 9169 3766
6167 6686 4369
6006 9762 8379
8618 8834 7200
8934 9839 9875
6657 9371 8287
1710 4344 8037
9032 9037 3561
9590 9909 9977
7602 9405 8764
4399 9833 2638
6104 8526 300
6754 7735 2062
7844 9163 1698
9840 9872 4297
8610 9706 4984
8243 8975 2982
1613 7780 101
1087 5555 7342
5712 9066 981
2285 3165 3279
6315 8510 647
5100 9527 4421
9659 9742 3637
1432 9318 1353
3355 9413 6705
5944 7354 6552
7891 8932 5515
6868 7196 4235
8788 9676 2616
2522 6358 3
5803 8475 7924
5236 7503 9581
8469 9224 1052
5716 9216 2627
2415 9204 2969
9292 9370 941
1868 8035 6922
6703 8741 7207
2996 8458 4364
6819 7339 8738
7210 8457 8736
424 3693 8450
7742 9532 4950
2111 6445 255
393 6895 7620
4540 8562 2757
5189 6111 2439
6520 7888 707
1830 4217 2021
3892 9778 4375
6612 8000 9238
8026 8666 4334
9219 9253 8538
1581 3626 7067
8716 9384 7207
5569 7128 2705
5716 9431 3468
141 7139 6622
3938 6171 8495
3348 4714 7319
7887 9327 8828
1591 3397 4302
3172 6863 4333
8143 9893 4630
8292 8783 6693
5142 6036 4809
3004 8736 9658
992 4356 5051
9811 9818 7518
7074 9159 1434
3393 6645 8278
3183 4560 8661
8307 9169 4629
4603 7464 2664
3362 8890 3416
9741 9808 6576
9938 9993 1948
2083 2627 540
3263 8553 8188
9050 9431 70
7548 7640 9964
2978 8987 8037
8823 9536 1356
6024 8304 1141
2087 6239 5818
9633 9684 3594
5909 9789 2157
2518 6944 9234
1794 6780 748
1044 8298 7790
9405 9464 1338
8235 8284 3533
4128 9832 4282
4627 7743 1359
5332 7287 2202
8135 9416 5400
8161 9398 2395
5987 7393 1586
5291 7632 1141
3228 6795 4233
3132 5168 1213
2525 5032 2717
5017 5928 9103
9813 9937 2164
4729 6327 3486
8806 9952 5923
6344 8334 7223
1355 9561 8509
8472 8571 1674
6426 7554 8508
819 7538 6719
819 9263 7530
9083 9424 3935
3131 5230 7635
9707 9751 3607
1225 3961 4457
22 1090 5382
9109 9292 87
4560 4929 7536
9166 9375 4405
7187 7919 4942
3451 6895 9520
7730 9274 5579
5929 7259 2663
9978 9995 6182
6825 7260 4901
3306 3627 8874
379 9934 3958
246 9581 6386
1852 5155 3856
1649 5128 6665
7419 7449 5668
3018 8817 1530
402 1107 7422
7087 9090 7981
2710 9467 789
4274 6151 6795
2776 6211 2643
5670 7281 3149
8120 9070 1498
2992 3684 867
2442 4950 2101
1824 2559 7216
6907 8691 319
8627 9903 3528
9131 9250 6249
1277 3742 3297
7477 9458 8845
5939 8406 7233
2979 7263 7404
9191 9458 739
3443 6668 8149
7482 7724 6971
9960 9988 5439
798 7418 2748
1213 2648 7265
8629 9622 9625
5394 8621 8435
6720 7124 9891
5296 8479 9676
2848 6760 6611
5388 6478 3288
6904 7231 9391
7642 7858 7131
8856 9126 7015
5905 9577 5355
5051 5926 34
203 5543 1988
406 5518 829
1988 7761 1769
1994 2888 9110
237 4389 4728
4331 9438 8510
4180 7841 5896
5689 9902 5595
3425 8852 6536
4358 4775 1568
5137 6635 7858
9682 9971 674
9572 9936 4969
2343 3100 9972
7634 7913 3456
6458 8723 4757
2246 9259 5918
7267 8860 9432
4099 8907 5451
5324 9354 971
7216 8727 4470
2053 5037 4495
8271 8855 5762
4548 6615 2036
492 1391 1195
1770 4395 4673
4018 8098 1207
606 7649 8862
9635 9861 6473
2361 6111 2062
2274 4372 2180
7743 8927 1653
2155 4597 2898
2962 5171 2016
2983 3304 3045
6744 8385 7119
4287 5223 3125
2310 3260 3842
5769 7121 5968
2730 5187 8354
680 6498 1087
3450 8574 6484
4698 5755 9183
4455 8505 5820
534 5725 6870
1378 9813 1849
2476 8551 950
1230 2033 9822
1604 6576 5180
1024 1861 5736
8768 9692 6602
4176 9981 7474
5159 8390 1013
5434 5786 5962
7955 9404 6269
5858 6782 543
1880 8009 2934
6792 8084 285
3224 6294 7458
6862 7946 7915
6892 7408 7971
2092 4986 1244
1659 6726 3667
6450 9933 6707
6598 7553 3648
9116 9296 5413
8727 9721 6498
8266 9281 9240
4226 6036 8366
2594 9567 7164
451 6049 2601
3061 9755 3385
1865 2138 6110
7817 9464 444
4100 9175 8788
4128 9234 6642
7335 9972 8812
2724 9745 2316
4836 7760 4637
6393 8107 1143
6684 7955 8626
4906 8066 3222
8071 8361 7045
2126 7177 6920
5187 9308 2729
8287 9062 4908
1431 3807 7226
3654 7435 1866
175 5438 219
4735 5739 3469
3121 4812 1999
2827 8524 6938
5385 5705 7783
4845 8411 6928
99 966 1021
1409 8575 3413
9996 9998 7829
3431 9033 2883
9309 9809 430
6167 7753 5265
5648 6258 4025
849 4326 843
6594 6660 5341
7410 9358 5918
7496 9345 543
4394 8173 430
5085 8374 4107
9745 9972 4789
2390 8170 5631
5653 9555 5796
5516 9053 5759
9964 9990 8947
2168 2745 7112
9146 9700 54
9614 9800 9948
3251 9429 9912
8809 9322 8935
2795 6186 7697
9377 9806 9999
1928 3815 604
1935 5465 1002
2297 2728 5999
4425 5144 9931
890 3574 6947
8833 8848 8188
8360 9307 8086
8419 9299 6891
8495 9468 275
8628 9183 9239
367 9607 458
